               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.099101,            0.015601,            0.047108,           0.0012827,             0.45577,            0.085152,            0.041489,            0.062607,            0.014706,            0.040232,            0.070203,           0.0033108,           0.0033108
                   1,             0.05801,            0.012742,            0.040191,             0.21454,             0.45359,             0.18831,            0.053216,            0.056242,           0.0095288,            0.036401,            0.039764,           0.0062056,           0.0062056
                   2,            0.051897,           0.0093523,            0.037986,             0.24619,              0.5964,             0.29413,             0.12336,            0.046592,           0.0083737,            0.035041,           0.0088857,           0.0086605,           0.0086605
                   3,            0.043549,           0.0079382,            0.035124,             0.54924,             0.82535,             0.63511,              0.3158,             0.03184,           0.0080304,             0.03148,             0.00802,             0.00802,             0.00802
                   4,            0.038587,           0.0068179,            0.032151,             0.51317,             0.91182,             0.61838,             0.30751,            0.030592,           0.0071546,            0.028613,             0.00802,             0.00802,             0.00802
                   5,             0.03347,           0.0064267,            0.030724,             0.63368,             0.90753,             0.66095,             0.37441,            0.024672,           0.0067253,            0.027711,             0.00736,             0.00736,             0.00736
                   6,            0.030363,           0.0054891,            0.028799,             0.63248,             0.95206,             0.66396,             0.42624,            0.023611,           0.0061689,            0.025915,              0.0067,              0.0067,              0.0067
                   7,            0.027365,           0.0053208,            0.027359,             0.65357,             0.93741,             0.67865,             0.46443,            0.021744,           0.0055341,            0.024312,             0.00604,             0.00604,             0.00604
                   8,            0.025232,           0.0047778,            0.026357,             0.63594,             0.93231,             0.68117,              0.4397,            0.022231,           0.0051722,            0.024242,             0.00538,             0.00538,             0.00538
                   9,             0.02414,           0.0046813,             0.02401,             0.69554,             0.89597,             0.76112,              0.5385,            0.022782,           0.0049583,            0.021245,             0.00472,             0.00472,             0.00472
                  10,            0.022672,           0.0044633,            0.021832,             0.77491,             0.87092,             0.81688,             0.60148,            0.018731,           0.0049049,            0.019896,             0.00406,             0.00406,             0.00406
                  11,            0.021654,           0.0042678,            0.018099,             0.85247,             0.81897,             0.86754,             0.64146,            0.017682,            0.004406,            0.016194,              0.0034,              0.0034,              0.0034
                  12,            0.019446,           0.0040004,            0.015146,             0.90881,             0.91255,             0.93951,             0.74032,            0.016927,           0.0043358,            0.012951,             0.00274,             0.00274,             0.00274
                  13,            0.017354,           0.0039654,            0.011885,             0.90213,             0.93352,             0.94175,             0.73595,            0.016292,           0.0041898,            0.011232,             0.00208,             0.00208,             0.00208
                  14,            0.015914,           0.0037666,             0.01035,             0.91546,             0.93034,              0.9503,             0.76267,             0.01465,           0.0040975,            0.010576,             0.00142,             0.00142,             0.00142
