               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.045452,            0.065375,            0.016454,             0.71234,             0.64451,             0.71916,             0.47949,            0.040646,            0.036313,           0.0091851,              0.0937,              0.0007,              0.0007
                   1,            0.043831,             0.06174,            0.017219,             0.80937,             0.61135,             0.74884,             0.50171,            0.040074,            0.035692,           0.0082686,            0.086485,           0.0014851,           0.0014851
                   2,            0.044744,            0.070138,            0.015993,             0.83079,             0.62559,             0.75683,             0.50432,            0.039776,            0.035092,           0.0075402,            0.079254,           0.0022545,           0.0022545
                   3,            0.044025,            0.062045,            0.013608,             0.82607,             0.64771,             0.76233,             0.50706,            0.040036,             0.03486,           0.0069854,            0.072008,           0.0030079,           0.0030079
                   4,            0.044534,            0.060822,            0.013255,             0.80115,             0.67784,             0.77402,             0.50921,                0.04,            0.034307,           0.0064216,            0.064746,           0.0037456,           0.0037456
                   5,            0.045253,            0.056127,            0.013661,             0.78154,             0.70736,             0.79374,             0.50141,            0.041761,            0.032947,           0.0059183,            0.057467,           0.0044673,           0.0044673
                   6,            0.045236,            0.050487,            0.013311,             0.74344,             0.72851,             0.78376,             0.46906,            0.043092,            0.032792,           0.0057027,            0.050173,           0.0051733,           0.0051733
                   7,            0.047609,            0.060132,            0.010292,             0.78629,             0.71012,             0.79697,             0.49753,             0.04299,            0.032327,           0.0052172,            0.042863,           0.0058634,           0.0058634
                   8,            0.047675,             0.05836,            0.012394,             0.76959,             0.72288,             0.80029,             0.47759,            0.045669,             0.03227,           0.0049953,            0.035538,           0.0065377,           0.0065377
                   9,            0.046404,            0.054731,            0.010029,              0.7362,             0.77393,                 0.8,             0.51357,            0.043955,            0.031602,           0.0048642,            0.028196,           0.0071961,           0.0071961
                  10,            0.048166,            0.062368,            0.010144,             0.70899,             0.78485,             0.79777,             0.48177,            0.048533,            0.030368,           0.0046732,            0.020839,           0.0078387,           0.0078387
                  11,            0.048334,            0.055089,           0.0098123,             0.77042,             0.77084,              0.8112,             0.52641,            0.043601,            0.030208,           0.0047461,            0.013465,           0.0084655,           0.0084655
                  12,            0.046708,            0.049494,            0.011658,             0.78966,             0.75261,             0.80117,             0.49491,            0.045354,             0.02934,           0.0045085,            0.008812,            0.008812,            0.008812
                  13,            0.046745,            0.055142,            0.011187,             0.82893,             0.75408,              0.8242,              0.5278,            0.044169,            0.029132,           0.0045533,            0.008812,            0.008812,            0.008812
                  14,            0.045178,            0.048383,           0.0097835,             0.82572,             0.75211,             0.81996,              0.5459,            0.042174,            0.028683,           0.0044892,            0.008713,            0.008713,            0.008713
                  15,            0.042939,            0.051599,           0.0093974,             0.82771,             0.78958,             0.84837,              0.5636,            0.040275,             0.02873,           0.0043391,            0.008614,            0.008614,            0.008614
                  16,            0.045053,            0.048337,           0.0096988,             0.81957,             0.78434,             0.85244,             0.54393,            0.040694,            0.028712,           0.0042827,            0.008515,            0.008515,            0.008515
                  17,            0.042332,            0.048472,           0.0098225,              0.8415,             0.79081,             0.86555,             0.57337,            0.039525,             0.02855,           0.0040994,            0.008416,            0.008416,            0.008416
                  18,            0.043654,            0.049048,           0.0094961,             0.83897,              0.8118,             0.85736,             0.55352,            0.040678,            0.028171,           0.0040472,            0.008317,            0.008317,            0.008317
                  19,            0.042951,            0.048818,            0.010573,             0.83415,             0.83044,             0.86346,             0.56292,            0.040976,            0.027829,           0.0039017,            0.008218,            0.008218,            0.008218
                  20,            0.042782,            0.046552,           0.0095647,             0.83358,             0.82599,             0.86965,             0.55227,            0.040588,            0.027822,            0.003816,            0.008119,            0.008119,            0.008119
                  21,             0.04587,            0.045676,           0.0089346,             0.82937,             0.81804,             0.87093,             0.56451,            0.040033,            0.028199,           0.0038811,             0.00802,             0.00802,             0.00802
                  22,            0.043216,            0.049706,           0.0092869,             0.81919,               0.838,             0.86701,             0.55996,            0.039226,            0.027504,            0.003893,            0.007921,            0.007921,            0.007921
                  23,            0.042458,            0.045971,           0.0081346,             0.82303,             0.81935,             0.87693,             0.56953,            0.039316,            0.027499,           0.0039629,            0.007822,            0.007822,            0.007822
                  24,            0.040644,            0.048835,           0.0092475,             0.77909,             0.82718,             0.87457,             0.57965,             0.03829,            0.026424,           0.0038195,            0.007723,            0.007723,            0.007723
                  25,            0.043163,            0.040594,           0.0089832,             0.76399,             0.84268,             0.87276,             0.57273,            0.039772,            0.026498,           0.0035996,            0.007624,            0.007624,            0.007624
                  26,            0.042861,            0.049731,            0.007881,             0.81644,             0.83577,             0.87879,             0.58934,            0.037563,             0.02617,           0.0035425,            0.007525,            0.007525,            0.007525
                  27,            0.042342,            0.052123,           0.0074231,             0.82457,             0.84001,             0.89036,             0.58363,            0.037435,            0.026221,           0.0034552,            0.007426,            0.007426,            0.007426
                  28,            0.043447,            0.049778,           0.0089762,             0.83483,             0.83942,             0.89112,              0.5965,            0.036684,            0.025447,           0.0032871,            0.007327,            0.007327,            0.007327
                  29,            0.039632,            0.045769,             0.00852,             0.82434,             0.84685,             0.90164,             0.61339,             0.03618,            0.025275,           0.0032653,            0.007228,            0.007228,            0.007228
                  30,            0.041899,            0.045268,           0.0072763,             0.87479,              0.8243,             0.89427,             0.61287,             0.03588,            0.025026,           0.0032678,            0.007129,            0.007129,            0.007129
                  31,            0.041657,            0.050383,           0.0075347,             0.84491,             0.83798,             0.89274,             0.59738,            0.036411,            0.024491,            0.003242,             0.00703,             0.00703,             0.00703
                  32,            0.040601,            0.043935,           0.0081542,              0.8655,             0.84821,             0.90105,             0.60669,            0.035917,            0.024659,           0.0033085,            0.006931,            0.006931,            0.006931
                  33,            0.041883,            0.047975,           0.0073058,             0.83527,             0.85776,             0.90812,             0.61278,            0.035226,            0.024493,           0.0032153,            0.006832,            0.006832,            0.006832
                  34,            0.041763,            0.047353,           0.0074742,             0.87265,             0.83318,             0.90801,             0.60364,            0.035434,            0.024309,           0.0032157,            0.006733,            0.006733,            0.006733
                  35,            0.039956,            0.047193,           0.0072602,             0.88478,             0.82954,             0.90657,             0.60775,            0.034966,            0.024041,            0.003085,            0.006634,            0.006634,            0.006634
                  36,            0.041041,             0.04575,           0.0071559,             0.91118,             0.82958,             0.91605,             0.64223,            0.034044,            0.023848,           0.0030149,            0.006535,            0.006535,            0.006535
                  37,            0.039535,            0.045031,           0.0071241,             0.85453,             0.87682,             0.91962,             0.63088,            0.035184,            0.023974,           0.0030181,            0.006436,            0.006436,            0.006436
                  38,            0.039278,             0.04523,           0.0066281,             0.91694,             0.84241,             0.92036,             0.64744,            0.033802,            0.023948,            0.003087,            0.006337,            0.006337,            0.006337
                  39,            0.039603,            0.044152,           0.0067512,             0.89688,             0.86392,             0.92534,             0.63808,             0.03328,            0.024089,           0.0030125,            0.006238,            0.006238,            0.006238
                  40,            0.037684,            0.043285,           0.0073139,             0.88736,              0.8514,             0.91111,             0.63051,            0.034039,             0.02383,           0.0029358,            0.006139,            0.006139,            0.006139
                  41,            0.039245,            0.042308,           0.0070644,             0.89808,             0.85846,             0.91435,             0.64475,             0.03321,            0.023647,           0.0028727,             0.00604,             0.00604,             0.00604
                  42,             0.03873,            0.042718,            0.006608,             0.87685,             0.86451,             0.92106,             0.64478,            0.033192,            0.023683,           0.0028684,            0.005941,            0.005941,            0.005941
                  43,            0.036645,            0.043687,           0.0064457,             0.86239,              0.8835,             0.92683,             0.64499,            0.033246,            0.023395,           0.0028476,            0.005842,            0.005842,            0.005842
                  44,             0.03888,            0.043701,           0.0069201,             0.90509,             0.83874,             0.91949,             0.64904,            0.032764,            0.023135,           0.0028512,            0.005743,            0.005743,            0.005743
                  45,             0.03743,            0.036694,            0.006778,              0.8913,             0.84798,              0.9228,             0.65105,            0.032399,            0.022964,           0.0028759,            0.005644,            0.005644,            0.005644
                  46,            0.037456,            0.041361,           0.0059429,             0.89311,             0.85367,              0.9295,             0.65108,            0.033087,            0.022895,            0.002823,            0.005545,            0.005545,            0.005545
                  47,            0.036014,            0.041011,           0.0062673,             0.91015,             0.84228,             0.92802,             0.65934,            0.031922,            0.022708,           0.0027925,            0.005446,            0.005446,            0.005446
                  48,            0.037247,            0.038886,           0.0058891,             0.83425,             0.90159,             0.91928,             0.65996,             0.03312,            0.022551,           0.0027677,            0.005347,            0.005347,            0.005347
                  49,            0.036376,            0.039625,           0.0060536,             0.87947,             0.88304,             0.93061,              0.6693,            0.032267,            0.022109,           0.0027488,            0.005248,            0.005248,            0.005248
                  50,            0.037323,            0.037676,           0.0066218,             0.90944,             0.87411,             0.93403,             0.67404,            0.032327,            0.022079,           0.0027564,            0.005149,            0.005149,            0.005149
                  51,            0.037697,            0.043637,           0.0066826,             0.89532,             0.88913,             0.94277,             0.69735,            0.031382,            0.022223,             0.00275,             0.00505,             0.00505,             0.00505
                  52,            0.037401,            0.040856,           0.0058782,             0.88566,             0.90299,             0.94046,              0.6846,            0.031727,            0.021953,           0.0027212,            0.004951,            0.004951,            0.004951
                  53,            0.035367,            0.037682,           0.0064183,              0.9023,             0.89841,             0.94427,             0.69069,            0.030876,            0.021618,           0.0027017,            0.004852,            0.004852,            0.004852
                  54,            0.036727,            0.036826,           0.0073697,             0.88368,             0.90648,             0.94112,             0.68928,            0.030162,            0.021466,           0.0026281,            0.004753,            0.004753,            0.004753
                  55,            0.035857,            0.039548,           0.0064869,             0.87212,             0.89602,             0.93649,             0.67433,            0.030561,             0.02157,           0.0025253,            0.004654,            0.004654,            0.004654
                  56,            0.035098,            0.040075,           0.0063742,             0.89793,             0.89405,              0.9353,              0.6738,            0.030465,            0.021622,           0.0024448,            0.004555,            0.004555,            0.004555
                  57,            0.035787,            0.035702,           0.0066198,              0.9072,             0.89649,             0.93711,             0.67601,            0.030909,            0.021682,           0.0024352,            0.004456,            0.004456,            0.004456
                  58,            0.035136,            0.043344,            0.006886,             0.93382,             0.86656,             0.93815,             0.69763,            0.029677,            0.021463,           0.0024379,            0.004357,            0.004357,            0.004357
                  59,            0.035177,            0.036491,           0.0055542,             0.88858,             0.90373,             0.94106,             0.69058,            0.030392,            0.021559,           0.0024437,            0.004258,            0.004258,            0.004258
                  60,            0.034983,            0.037426,           0.0059744,             0.88248,             0.90252,             0.93625,             0.69472,            0.029649,            0.021464,           0.0024315,            0.004159,            0.004159,            0.004159
                  61,              0.0348,            0.040902,           0.0058419,             0.90713,             0.89384,              0.9388,             0.70155,            0.029711,            0.021413,           0.0024024,             0.00406,             0.00406,             0.00406
                  62,            0.036039,            0.037963,           0.0065887,             0.91274,             0.90268,             0.95369,             0.71085,            0.029468,            0.021091,           0.0023758,            0.003961,            0.003961,            0.003961
                  63,            0.034149,            0.040143,           0.0052242,             0.90733,             0.89558,             0.94458,             0.70145,            0.029326,            0.021001,           0.0023596,            0.003862,            0.003862,            0.003862
                  64,            0.035102,            0.038334,           0.0051936,             0.90128,             0.89841,             0.95374,             0.71631,            0.028858,            0.020689,           0.0023516,            0.003763,            0.003763,            0.003763
                  65,            0.033572,            0.040952,           0.0055936,             0.91526,             0.88772,             0.94784,             0.71015,            0.028504,            0.020647,            0.002319,            0.003664,            0.003664,            0.003664
                  66,            0.032134,            0.035315,           0.0054477,             0.93208,             0.86833,             0.94586,              0.7105,            0.028133,            0.020697,           0.0022959,            0.003565,            0.003565,            0.003565
                  67,             0.03309,            0.040128,           0.0056479,             0.92148,             0.87957,             0.94948,             0.71712,             0.02815,             0.02064,           0.0022901,            0.003466,            0.003466,            0.003466
                  68,            0.032677,            0.037324,           0.0056771,             0.92423,             0.87392,             0.94355,             0.72548,            0.028467,            0.020562,           0.0022739,            0.003367,            0.003367,            0.003367
                  69,            0.032904,            0.041556,           0.0058651,             0.91886,             0.88534,             0.94719,             0.73119,            0.027517,            0.020429,           0.0022383,            0.003268,            0.003268,            0.003268
                  70,            0.033156,            0.045881,           0.0053316,             0.92395,              0.8915,             0.95224,             0.73109,            0.027515,            0.020341,            0.002202,            0.003169,            0.003169,            0.003169
                  71,            0.032241,            0.039514,           0.0050764,             0.93803,             0.87578,             0.94504,             0.73612,            0.027527,            0.020269,           0.0021867,             0.00307,             0.00307,             0.00307
                  72,            0.033238,            0.039829,           0.0053082,             0.91715,             0.88241,             0.94639,             0.72965,            0.027174,            0.019984,           0.0021693,            0.002971,            0.002971,            0.002971
                  73,            0.031406,            0.038945,           0.0054615,             0.92176,             0.88615,             0.95296,             0.72866,            0.027055,            0.019887,           0.0021397,            0.002872,            0.002872,            0.002872
                  74,            0.032771,            0.038812,           0.0052607,             0.92395,              0.8959,             0.95723,             0.73999,             0.02695,            0.019881,           0.0021209,            0.002773,            0.002773,            0.002773
                  75,              0.0333,             0.04203,           0.0051608,             0.92514,             0.89578,             0.95771,             0.74573,            0.026667,            0.019762,           0.0021007,            0.002674,            0.002674,            0.002674
                  76,            0.032776,            0.034743,           0.0047713,              0.9284,             0.89145,             0.95692,             0.73464,             0.02674,            0.019741,           0.0020888,            0.002575,            0.002575,            0.002575
                  77,            0.031687,            0.035619,           0.0045856,             0.91997,             0.89191,             0.95847,             0.74033,            0.026377,            0.019559,           0.0020863,            0.002476,            0.002476,            0.002476
                  78,            0.031231,            0.037437,           0.0047187,             0.91147,             0.89777,             0.95522,             0.73803,            0.026514,            0.019469,           0.0020698,            0.002377,            0.002377,            0.002377
                  79,            0.032691,             0.03816,           0.0049058,             0.90706,             0.90048,              0.9532,             0.73944,            0.026095,            0.019364,           0.0020553,            0.002278,            0.002278,            0.002278
                  80,            0.029745,             0.03232,           0.0049259,             0.90928,             0.88715,             0.94583,             0.73761,            0.026097,            0.019358,           0.0020525,            0.002179,            0.002179,            0.002179
                  81,             0.03191,            0.039825,            0.004783,             0.90557,              0.8977,             0.95092,             0.74158,            0.025721,            0.019125,           0.0020384,             0.00208,             0.00208,             0.00208
                  82,            0.033511,            0.034073,           0.0054302,             0.92592,             0.88837,             0.95274,             0.74035,            0.026235,            0.019125,           0.0020205,            0.001981,            0.001981,            0.001981
                  83,            0.029772,            0.037843,           0.0044912,             0.92746,             0.88838,             0.94987,             0.74981,            0.025531,            0.018922,           0.0020083,            0.001882,            0.001882,            0.001882
                  84,            0.031212,             0.03634,           0.0048806,             0.92374,              0.8903,              0.9546,             0.75314,            0.025029,            0.018793,           0.0019947,            0.001783,            0.001783,            0.001783
                  85,            0.027972,            0.032442,           0.0047679,             0.92437,             0.89346,              0.9545,             0.75825,            0.024955,            0.018753,           0.0019692,            0.001684,            0.001684,            0.001684
                  86,            0.031978,            0.037203,           0.0051891,              0.9203,               0.894,             0.95331,             0.75704,            0.024844,            0.018667,           0.0019395,            0.001585,            0.001585,            0.001585
                  87,            0.029221,             0.03396,           0.0046841,             0.92755,             0.88367,              0.9543,             0.76527,            0.024849,            0.018606,           0.0019252,            0.001486,            0.001486,            0.001486
                  88,            0.028897,            0.033476,           0.0044057,              0.9155,             0.89103,             0.95174,             0.75351,             0.02502,            0.018602,           0.0019103,            0.001387,            0.001387,            0.001387
                  89,            0.029758,            0.034162,           0.0048081,             0.91844,             0.89423,             0.95323,             0.75616,            0.024704,            0.018485,           0.0018997,            0.001288,            0.001288,            0.001288
                  90,            0.029655,            0.035204,           0.0054002,             0.92886,             0.88156,             0.95392,             0.76325,            0.024431,            0.018357,           0.0018887,            0.001189,            0.001189,            0.001189
                  91,            0.030238,            0.037018,           0.0046106,             0.91577,             0.89563,             0.95715,             0.76674,            0.024334,            0.018293,           0.0018839,             0.00109,             0.00109,             0.00109
                  92,             0.02885,            0.035845,           0.0045821,             0.92096,             0.89753,              0.9565,              0.7665,            0.024193,            0.018207,           0.0018595,            0.000991,            0.000991,            0.000991
                  93,            0.029417,            0.038927,           0.0041912,             0.92503,             0.89923,              0.9578,              0.7687,            0.024114,            0.018129,           0.0018521,            0.000892,            0.000892,            0.000892
                  94,            0.029658,             0.03726,           0.0052136,             0.92826,             0.90043,             0.95881,             0.77325,             0.02393,            0.018059,           0.0018421,            0.000793,            0.000793,            0.000793
                  95,            0.027563,            0.034306,            0.004202,               0.927,             0.89978,             0.95946,             0.77222,            0.023802,            0.017986,           0.0018279,            0.000694,            0.000694,            0.000694
                  96,            0.028375,            0.034595,           0.0043279,             0.92477,             0.90232,             0.95971,             0.77218,            0.023759,            0.017922,            0.001822,            0.000595,            0.000595,            0.000595
                  97,            0.030145,            0.038445,           0.0048309,             0.92332,             0.90351,             0.96139,             0.76749,            0.023818,            0.017899,           0.0018175,            0.000496,            0.000496,            0.000496
                  98,            0.027824,            0.035774,           0.0048127,             0.92305,             0.90072,             0.95943,             0.76918,            0.023603,            0.017822,           0.0018116,            0.000397,            0.000397,            0.000397
                  99,            0.030333,            0.038405,           0.0044363,             0.92535,              0.9002,             0.95939,             0.77671,            0.023487,            0.017776,           0.0018076,            0.000298,            0.000298,            0.000298
