               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11088,            0.015575,            0.030739,          0.00043355,             0.21724,            0.034662,            0.008166,            0.079903,            0.010372,            0.024851,            0.070316,           0.0032982,           0.0032982
                   1,            0.074806,            0.012292,            0.017786,            0.098945,             0.19702,            0.072604,            0.016115,            0.060811,           0.0090974,            0.022611,            0.039878,           0.0061939,           0.0061939
                   2,            0.062909,           0.0093729,            0.015061,             0.20361,              0.4025,             0.27336,             0.10413,            0.056906,           0.0070178,            0.017582,           0.0090004,           0.0086495,           0.0086495
                   3,            0.056068,           0.0074849,            0.011458,             0.31033,             0.59864,             0.47062,             0.20748,            0.047373,           0.0065716,            0.013538,             0.00802,             0.00802,             0.00802
                   4,            0.051406,           0.0066704,           0.0090643,             0.68736,             0.83247,             0.82372,             0.31075,            0.038191,           0.0062049,            0.011193,             0.00802,             0.00802,             0.00802
                   5,             0.04342,           0.0062928,            0.005992,             0.92298,             0.88818,             0.96363,             0.54431,             0.03221,           0.0059258,           0.0097736,             0.00736,             0.00736,             0.00736
                   6,            0.038284,           0.0057005,           0.0044571,             0.92164,             0.90488,             0.94109,             0.54656,            0.031894,           0.0054444,           0.0078334,              0.0067,              0.0067,              0.0067
                   7,            0.035564,           0.0054059,           0.0040294,             0.93219,              0.9192,             0.96319,             0.51987,            0.030693,           0.0055934,           0.0080954,             0.00604,             0.00604,             0.00604
                   8,            0.031424,           0.0051419,           0.0029681,             0.93662,             0.95654,             0.97973,             0.57847,            0.026013,           0.0051378,           0.0091772,             0.00538,             0.00538,             0.00538
                   9,            0.027866,           0.0046323,           0.0028723,             0.97033,             0.93336,             0.97618,             0.64911,            0.025591,           0.0048052,           0.0079753,             0.00472,             0.00472,             0.00472
                  10,             0.02602,           0.0044325,           0.0022269,             0.95703,             0.96136,             0.98422,             0.64985,            0.022586,           0.0046582,           0.0088636,             0.00406,             0.00406,             0.00406
                  11,            0.023142,           0.0044776,           0.0023216,             0.96834,             0.94271,             0.97956,             0.70374,            0.020933,           0.0044874,           0.0077799,              0.0034,              0.0034,              0.0034
                  12,            0.020678,           0.0041929,           0.0019142,             0.97006,             0.95975,             0.97818,             0.70258,            0.021707,           0.0042193,           0.0078409,             0.00274,             0.00274,             0.00274
                  13,            0.018594,           0.0040458,           0.0016794,             0.97162,             0.95955,             0.97846,             0.73117,            0.019498,           0.0041181,           0.0069277,             0.00208,             0.00208,             0.00208
                  14,            0.017281,           0.0040549,           0.0016563,             0.97421,             0.95001,             0.97798,             0.67818,            0.019885,           0.0040058,           0.0071311,             0.00142,             0.00142,             0.00142
